time,close_time,open,high,low,close,volume
1783825200000,1783826099999,64070.4,64124.0,64035.68,64089.21,263.07165
1783826100000,1783826999999,64089.22,64161.9,64089.21,64135.76,89.19172
1783827000000,1783827899999,64135.77,64216.0,64135.77,64174.29,88.94444
1783827900000,1783828799999,64174.29,64223.74,64155.25,64223.73,47.74338
1783828800000,1783829699999,64223.73,64245.87,64170.11,64175.92,79.40626
1783829700000,1783830599999,64175.91,64215.63,64069.99,64070.0,117.39341
1783830600000,1783831499999,64070.0,64070.0,63943.68,64025.17,154.53863
1783831500000,1783832399999,64025.17,64025.18,63963.26,63999.93,61.5749
1783832400000,1783833299999,63999.94,64024.48,63980.93,63991.23,74.65911
1783833300000,1783834199999,63991.22,63991.23,63911.28,63912.33,85.18367
1783834200000,1783835099999,63912.34,63981.21,63900.0,63965.99,54.52701
1783835100000,1783835999999,63965.99,63997.27,63959.93,63959.93,76.96965
1783836000000,1783836899999,63959.93,63962.85,63732.0,63752.0,191.36529
1783836900000,1783837799999,63751.99,63786.21,63640.83,63668.51,140.77048
1783837800000,1783838699999,63668.51,63787.2,63640.83,63773.83,126.17217
1783838700000,1783839599999,63773.83,63822.59,63722.0,63762.46,68.21287
1783839600000,1783840499999,63762.47,63824.01,63740.12,63824.0,55.36641
1783840500000,1783841399999,63823.99,63882.27,63803.02,63865.46,52.62745
1783841400000,1783842299999,63865.46,63891.63,63850.55,63870.01,171.6627
1783842300000,1783843199999,63870.02,63908.39,63846.84,63885.27,227.06926
1783843200000,1783844099999,63885.28,64100.32,63884.2,64051.52,284.89122
1783844100000,1783844999999,64051.53,64096.12,64000.0,64000.01,219.53587
1783845000000,1783845899999,64000.0,64015.39,64000.0,64015.38,394.83513
1783845900000,1783846799999,64015.39,64015.39,63930.0,63983.18,450.50937
1783846800000,1783847699999,63983.18,63991.57,63890.0,63890.0,518.07993
1783847700000,1783848599999,63890.0,63890.01,63764.0,63828.14,705.29112
1783848600000,1783849499999,63828.14,64062.17,63828.14,64007.91,986.83627
1783849500000,1783850399999,64007.92,64021.99,63953.76,63961.61,879.29071
1783850400000,1783851299999,63961.6,63961.6,63896.99,63928.84,31.95227
1783851300000,1783852199999,63928.82,63939.05,63884.01,63884.01,28.50065
1783852200000,1783853099999,63884.01,63910.06,63848.98,63873.99,55.37344
1783853100000,1783853999999,63874.0,63893.87,63843.4,63865.76,134.54542
1783854000000,1783854899999,63865.76,63915.0,63826.01,63848.01,28.89956
1783854900000,1783855799999,63848.0,63911.42,63848.0,63911.42,25.48414
1783855800000,1783856699999,63911.41,64030.0,63911.41,64003.75,66.46976
1783856700000,1783857599999,64003.75,64028.31,63989.42,64018.01,37.81456
1783857600000,1783858499999,64018.0,64135.0,63970.55,64103.5,79.86614
1783858500000,1783859399999,64103.5,64124.84,64024.46,64054.13,67.37652
1783859400000,1783860299999,64054.14,64070.0,64000.0,64028.28,69.60507
1783860300000,1783861199999,64028.27,64050.0,63986.14,64026.0,103.21499
1783861200000,1783862099999,64026.01,64050.0,64004.0,64034.99,32.81471
1783862100000,1783862999999,64035.0,64097.99,64009.7,64043.5,178.40786
1783863000000,1783863899999,64043.49,64086.5,64034.0,64040.01,101.13208
1783863900000,1783864799999,64040.0,64042.84,63987.4,64023.14,57.56183
1783864800000,1783865699999,64023.13,64035.0,63958.71,63975.01,79.84101
1783865700000,1783866599999,63975.01,63998.11,63960.0,63997.93,28.35887
1783866600000,1783867499999,63997.92,64082.0,63997.92,64070.22,48.22847
1783867500000,1783868399999,64070.22,64290.11,64070.0,64203.08,105.01991
1783868400000,1783869299999,64203.08,64262.15,64149.97,64190.92,57.88815
1783869300000,1783870199999,64190.91,64241.51,64136.0,64223.36,56.30652
1783870200000,1783871099999,64223.36,64248.0,64117.97,64152.9,72.87206
1783871100000,1783871999999,64152.9,64213.77,64134.93,64176.0,43.63352
1783872000000,1783872899999,64176.0,64209.64,64042.0,64061.23,118.86901
1783872900000,1783873799999,64061.22,64177.41,64061.22,64176.77,46.84243
1783873800000,1783874699999,64176.77,64180.0,64108.0,64119.51,58.90001
1783874700000,1783875599999,64119.51,64177.71,64110.51,64177.7,35.71794
1783875600000,1783876499999,64177.7,64177.71,64136.43,64140.8,35.80722
1783876500000,1783877399999,64140.8,64164.7,64132.0,64132.78,30.67605
1783877400000,1783878299999,64132.77,64177.74,64115.63,64162.12,25.6839
1783878300000,1783879199999,64162.12,64164.35,64029.12,64078.0,151.79885
1783879200000,1783880099999,64078.0,64106.57,64026.86,64038.88,77.46012
1783880100000,1783880999999,64038.89,64091.08,64018.69,64066.0,57.63537
1783881000000,1783881899999,64066.0,64133.09,64066.0,64129.99,46.46762
1783881900000,1783882799999,64130.0,64150.0,64118.9,64147.99,26.18415
1783882800000,1783883699999,64148.0,64232.56,64147.99,64178.04,60.80646
1783883700000,1783884599999,64178.04,64213.18,64178.03,64206.29,22.27014
1783884600000,1783885499999,64206.3,64206.3,64147.3,64158.75,28.91593
1783885500000,1783886399999,64158.75,64270.0,64158.75,64228.59,66.33437
1783886400000,1783887299999,64228.59,64254.0,64182.25,64191.73,41.77476
1783887300000,1783888199999,64191.73,64209.13,64178.03,64203.26,21.9342
1783888200000,1783889099999,64203.27,64219.63,64178.03,64213.92,53.85391
1783889100000,1783889999999,64213.92,64230.0,64192.0,64198.89,40.67753
1783890000000,1783890899999,64198.9,64232.02,64198.82,64208.05,33.20408
1783890900000,1783891799999,64208.05,64208.06,64086.0,64106.0,67.18526
1783891800000,1783892699999,64106.0,64106.01,64022.66,64053.25,61.3749
1783892700000,1783893599999,64053.24,64053.24,63891.84,63920.4,155.52589
1783893600000,1783894499999,63920.4,63920.4,63686.12,63792.01,227.15309
1783894500000,1783895399999,63792.01,63835.0,63668.0,63826.0,100.02886
1783895400000,1783896299999,63825.99,63869.56,63766.61,63780.0,42.12221
1783896300000,1783897199999,63780.0,63923.99,63704.4,63886.87,56.61556
1783897200000,1783898099999,63886.86,63914.85,63739.33,63824.99,87.6688
1783898100000,1783898999999,63825.0,63849.42,63787.23,63826.99,33.56492
1783899000000,1783899899999,63826.98,63862.0,63750.0,63812.0,83.82317
1783899900000,1783900799999,63812.0,63824.0,63726.62,63780.0,55.74892
1783900800000,1783901699999,63780.0,64295.0,63725.37,64295.0,317.60469
1783901700000,1783902599999,64295.0,64425.0,64174.39,64181.65,212.59475
1783902600000,1783903499999,64181.65,64204.0,63568.0,63786.0,434.66956
1783903500000,1783904399999,63786.0,64117.64,63780.0,64072.01,170.03408
1783904400000,1783905299999,64072.0,64072.01,63659.73,63856.05,205.59727
1783905300000,1783906199999,63856.04,63991.54,63664.51,63720.0,200.76786
1783906200000,1783907099999,63720.0,63768.38,63542.33,63693.97,295.45647
1783907100000,1783907999999,63693.98,63698.0,63376.53,63412.01,411.83969
1783908000000,1783908899999,63412.01,63450.0,63237.26,63412.12,274.17119
1783908900000,1783909799999,63412.12,63541.94,63365.08,63468.25,191.85366
1783909800000,1783910699999,63468.24,63496.5,63394.13,63468.01,109.03908
1783910700000,1783911599999,63468.01,63469.53,63343.29,63375.99,46.93081
1783911600000,1783912499999,63376.0,63382.95,62892.65,63024.66,413.2011
1783912500000,1783913399999,63024.67,63123.77,62808.0,63072.01,291.06991
1783913400000,1783914299999,63072.0,63072.0,62741.04,62821.52,224.59294
1783914300000,1783915199999,62821.53,62870.0,62788.0,62806.41,139.95876
1783915200000,1783916099999,62806.41,62869.02,62688.6,62817.97,198.38307
1783916100000,1783916999999,62817.96,62911.94,62817.96,62874.97,109.51235
1783917000000,1783917899999,62874.97,62874.97,62620.13,62718.0,217.01959
1783917900000,1783918799999,62718.0,62782.0,62662.0,62672.0,145.34106
1783918800000,1783919699999,62672.0,62905.68,62500.76,62809.59,332.28622
1783919700000,1783920599999,62809.6,62836.0,62614.46,62636.0,260.59393
1783920600000,1783921499999,62636.0,62820.3,62563.56,62804.16,111.88247
1783921500000,1783922399999,62804.15,62826.95,62763.97,62799.0,111.38586
1783922400000,1783923299999,62799.01,62864.16,62731.5,62746.27,158.52757
1783923300000,1783924199999,62746.27,62843.92,62710.45,62843.91,96.83299
1783924200000,1783925099999,62843.92,62870.91,62767.2,62840.8,55.98002
1783925100000,1783925999999,62840.8,62880.0,62790.83,62797.55,73.77448
1783926000000,1783926899999,62797.55,62876.33,62753.69,62808.09,170.89677
1783926900000,1783927799999,62808.1,63024.12,62790.53,62964.01,251.15634
1783927800000,1783928699999,62964.0,63064.07,62916.0,62978.55,676.64333
1783928700000,1783929599999,62978.55,63070.01,62959.32,62985.52,377.49146
1783929600000,1783930499999,62985.53,63105.28,62935.92,63038.64,625.2501
1783930500000,1783931399999,63038.63,63120.03,62982.0,63100.0,512.37732
